,productID,productName,topRelevantAttributes,topAttributeDescriptions,attributeScores
0,11.0,"PowerMax Fitness BU-201 Dual Action Air Bike/Exercise Bike with Back Support System for Home Workout, black","['quality', 'installation', 'cost', 'service', 'good', 'product', 'assemble', 'support', 'value', 'buy']","{'quality': ['good', 'nice', 'excellent', 'bad', 'product', 'not_good', 'ok', 'poor', 'overall', 'extremely'], 'installation': ['good', 'easy', 'product', 'free', 'complete', 'difficult', 'quick', 'not_easy', 'want', 'problem'], 'cost': ['good', 'worth', 'worthy', 'kind', 'save', 'optimal', 'technician', 'not_low', 'cycle'], 'service': ['good', 'easy', 'nice', 'excellent', 'awesome', 'bad', 'product', 'not_good', 'poor', 'satisfied'], 'good': ['easy', 'product', 'overall', 'service', 'quality', 'product_quality', 'experience', 'customer_support', 'wise', 'build_quality'], 'product': ['good', 'easy', 'nice', 'not_bad', 'excellent', 'worth', 'awesome', 'strong', 'bad', 'not_good'], 'assemble': ['good', 'easy', 'nice', 'worth', 'strong', 'free', 'fairly', 'difficult', 'work_well', 'quick'], 'support': ['good', 'easy', 'nice', 'excellent', 'strong', 'bad', 'product', 'poor', 'fit', 'overall'], 'value': ['good', 'easy', 'nice', 'excellent', 'worth', 'strong', 'product', 'overall', 'friendly', 'delicate'], 'buy': ['good', 'easy', 'nice', 'not_bad', 'excellent', 'worth', 'bad', 'product', 'happy', 'satisfied']}","{'quality': 0.1366666666666666, 'installation': 0.6588888888888887, 'cost': 0.6099999999999999, 'service': -0.04111111111111124, 'good': 0.1422222222222222, 'product': 0.5044444444444444, 'assemble': 1.0544444444444443, 'support': 0.3144444444444443, 'value': 0.8952777777777776, 'buy': 0.38888888888888884}"
0,12.0,"PowerMax Fitness BS-130 Steel Exercise Spin Bike With 6 Kg Flywheel, LCD Display & Bottle Holder, Black","['quality', 'exercise_bike', 'instal', 'help', 'look', 'seat', 'fit', 'product', 'experience', 'assemble']","{'quality': ['useful', 'build'], 'exercise_bike': ['great'], 'instal': ['hard'], 'help': ['not_have_so'], 'look': ['fit_later', 'compact', 'look_far'], 'seat': ['not_comfortable', 'hard', 'uncomfortable', 'need', 'adjustable'], 'fit': ['fit_later', 'compact'], 'product': ['easy', 'nice', 'useful', 'not_good', 'excellent', 'bad', 'hard', 'awesome', 'great', 'ok'], 'experience': [], 'assemble': ['easy', 'explain_well', 'free']}","{'quality': 0.3, 'exercise_bike': 0.2, 'instal': -0.13368055555555558, 'help': 0.0, 'look': 0.0, 'seat': -0.13368055555555558, 'fit': 0.0, 'product': 0.4552083333333333, 'experience': 0, 'assemble': 0.1522222222222222}"
0,13.0,"Reach Digital Pedal Exercise Machine Mini Fitness Cycle with Fixing Strap, Adjustable Resistance and LCD Display - Fits Under Desk and suitable for Light Exercise of Legs & Arms, and Physiotherapy at Home","['quality', 'service', 'install', 'gets', 'fit', 'product', 'assemble', 'grip', 'recommend', 'buy']","{'quality': ['good', 'nice', 'great', 'worth', 'happy', 'poor', 'strong', 'not_good', 'high', 'superb'], 'service': ['good', 'poor', 'not_good'], 'install': ['easy', 'friendly', 'product', 'super', 'portable'], 'gets': ['ride_fast'], 'fit': ['small', 'fit_well', 'highly', 'need', 'fit_nicely', 'stay', 'fit_in', 'buy_so'], 'product': ['good', 'easy', 'nice', 'great', 'excellent', 'amazing', 'worth', 'recommend', 'bad', 'satisfied'], 'assemble': ['good', 'easy', 'worth', 'able', 'smooth', 'assemble_easy', 'pretty', 'portable'], 'grip': ['easy'], 'recommend': ['good', 'easy', 'worth', 'satisfied', 'product', 'recommend_strongly', 'be_easily', 'not_poor', 'thank_regardless', 'recommend_genuinely'], 'buy': ['good', 'easy', 'excellent', 'worth', 'small', 'recommend', 'product', 'recommend_strongly', 'far', 'overall']}","{'quality': 0.7791555555555555, 'service': 0.11999999999999988, 'install': 0.3708333333333333, 'gets': 0.0, 'fit': -0.07639999999999998, 'product': 0.648888888888889, 'assemble': 1.0097222222222222, 'grip': 0.07222222222222222, 'recommend': 0.6222222222222221, 'buy': 0.4722222222222221}"
0,14.0,beatXP Vortex Plus 4M Air Bike Exercise Cycle for Home |Gym Cycle for Workout With Adjustable Cushioned Seat |Moving Handles | Back Support & Tummy Twister With 6 Months Warranty (Black),"['quality', 'installation', 'nice', 'service', 'cost', 'product', 'safe', 'assemble', 'design', 'buy']","{'quality': ['nice', 'accurate', 'pretty', 'good'], 'installation': ['free'], 'nice': ['product', 'overall', 'product_quality'], 'service': ['bad', 'product', 'pathetic', 'not_pathetic', 'not_very', 'fantastic', 'superb', 'not_satisfactory', 'not_bad', 'amazon'], 'cost': ['easy', 'friendly', 'fit', 'worthy'], 'product': ['easy', 'nice', 'bad', 'excellent', 'useful', 'assemble_easily', 'miss', 'service', 'worth', 'far'], 'safe': [], 'assemble': ['easy', 'nice', 'assemble_easily', 'inconvenient', 'not_other', 'able', 'not_easy', 'not_wise', 'impossible'], 'design': ['easy', 'trendy', 'good'], 'buy': ['large', 'worth', 'product', 'happy', 'not_pathetic', 'not_worth', 'not_miss', 'not_bad', 'good', 'not_happy']}","{'quality': 0.4266666666666666, 'installation': 0.07999999999999999, 'nice': 0.0, 'service': -0.1933333333333333, 'cost': 0.4997222222222222, 'product': 0.4088888888888889, 'safe': 0, 'assemble': 0.2597222222222222, 'design': 0.4122222222222221, 'buy': 0.6724489795918367}"
0,15.0,"Lifelong LLF135 FitPro Stationary Exercise Belt Bike for Weight Loss at Home with Display and Resistance Control, White (Free Installation Assistance)","['install', 'fit', 'price', 'product', 'assemble', 'place', 'value', 'expect', 'qualities', 'buy']","{'install': ['easy', 'difficult'], 'fit': ['easy', 'lifelong', 'pro'], 'price': ['good', 'cheap', 'friendly', 'reasonable'], 'product': ['good', 'easy', 'nice', 'excellent', 'bad', 'worth', 'amazing', 'useful', 'not_bad', 'want'], 'assemble': ['easy', 'simple'], 'place': ['small'], 'value': ['good', 'appear', 'stable', 'overall', 'andalso', 'defenetly'], 'expect': ['good', 'heavy', 'not_expect_well', 'not_nice'], 'qualities': [], 'buy': ['good', 'nice', 'worth', 'satisfied', 'not_bad', 'product']}","{'install': 0.07222222222222222, 'fit': 0.03222222222222221, 'price': 0.6675, 'product': 0.7488888888888888, 'assemble': 0.07222222222222222, 'place': -0.15, 'value': 0.2799999999999999, 'expect': 0.1799999999999999, 'qualities': 0, 'buy': 0.5499999999999999}"
0,16.0,"PowerMax Fitness BU-201 Dual Action Air Bike/Exercise Bike with Back Support System for Home Workout, black","['quality', 'installation', 'service', 'good', 'price', 'fit', 'product', 'assemble', 'support', 'buy']","{'quality': ['good', 'easy', 'nice', 'excellent', 'amazing', 'bad', 'product', 'strong', 'small', 'not_good'], 'installation': ['good', 'easy', 'nice', 'product', 'free', 'complete', 'difficult', 'not_easy', 'quick', 'problem'], 'service': ['good', 'easy', 'nice', 'excellent', 'amazing', 'bad', 'product', 'not_good', 'poor', 'satisfied'], 'good': ['easy', 'product', 'service', 'overall', 'quality', 'product_quality', 'experience', 'delivery', 'wise', 'build_quality'], 'price': ['good', 'easy', 'nice', 'amazing', 'worth', 'product', 'happy', 'assemble', 'cheap', 'high'], 'fit': ['easy', 'not_good', 'support', 'left', 'unable', 'try', 'priceperfect', 'not_fit_properly', 'not_even', 'not_fit_exactly'], 'product': ['good', 'easy', 'nice', 'not_bad', 'excellent', 'amazing', 'worth', 'bad', 'product', 'strong'], 'assemble': ['good', 'easy', 'nice', 'worth', 'strong', 'free', 'miss', 'fairly', 'difficult', 'not_easy'], 'support': ['good', 'easy', 'nice', 'excellent', 'bad', 'product', 'strong', 'poor', 'fit', 'overall'], 'buy': ['good', 'easy', 'nice', 'not_bad', 'excellent', 'worth', 'bad', 'product', 'happy', 'satisfied']}","{'quality': 0.14444444444444435, 'installation': 0.6588888888888887, 'service': 0.01888888888888876, 'good': 0.1422222222222222, 'price': 0.8758222222222221, 'fit': -0.17777777777777778, 'product': 0.5644444444444443, 'assemble': 0.8877777777777776, 'support': 0.3144444444444443, 'buy': 0.38888888888888884}"
0,17.0,"Klikfit KF01F Indoor Stationary Air Bike Exercise Cycle for Home Gym Cardio Full Body Weight Loss Workout - Free Installation Support , Black Silver","['quality', 'want', 'installation', 'service', 'feel', 'price', 'product', 'assemble', 'support', 'buy']","{'quality': ['poor', 'cheap', 'perfect'], 'want': ['movable', 'not_answer_also'], 'installation': ['not_easy', 'free'], 'service': ['extraordinary', 'dissatisfied'], 'feel': ['happy'], 'price': ['cheap', 'reasonable'], 'product': ['easy', 'nice', 'amazing', 'excellent', 'not_bad', 'not_good', 'faulty', 'average', 'horrible', 'product'], 'assemble': ['easy', 'accord_easily'], 'support': ['amazing', 'not_back', 'not_instal', 'not_possible'], 'buy': ['amazing', 'perfect', 'product', 'waste']}","{'quality': -0.04000000000000001, 'want': 0.0, 'installation': 0.07999999999999999, 'service': 0.0, 'feel': 0.0, 'price': 0.20000000000000004, 'product': 0.0422222222222222, 'assemble': 0.07222222222222222, 'support': 0.06, 'buy': -0.14}"
0,18.0,"Lifelong LLEB104 AirBike with Moving Handle and Back Support, Max User Weight 100kg, Fitness Bike for Workout at Home (Free Home Installlation, 6 Months Warranty, Black)","['quality', 'damage', 'fitness', 'service', 'install', 'seat', 'feel', 'product', 'purchase', 'support']","{'quality': ['good', 'great', 'slightly', 'improve'], 'damage': ['small', 'bcz'], 'fitness': ['good', 'product', 'afforable', 'concerned'], 'service': ['good', 'great'], 'install': ['easy', 'love_just', 'install_well', 'service'], 'seat': ['hurt_just', 'dislike', 'painful'], 'feel': ['bad'], 'product': ['good', 'love_just', 'fine', 'fitness', 'receive_then', 'amazing'], 'purchase': ['bad'], 'support': ['lifelong', 'fast', 'poor', 'receive_then']}","{'quality': 0.34111111111111103, 'damage': -0.15, 'fitness': 0.2799999999999999, 'service': 0.4799999999999999, 'install': 0.07222222222222222, 'seat': -0.06999999999999998, 'feel': -0.2333333333333333, 'product': 0.5483333333333333, 'purchase': -0.2333333333333333, 'support': -0.12000000000000002}"
0,19.0,"Cockatoo AB06 Stainless Steel Exercise Bike with Moving Handle and Adjustable Cushioned Seat, Black/Silver (DIY, Do It Yourself Installation)","['quality', 'installation', 'service', 'good', 'ask', 'product', 'experience', 'assemble', 'purchase', 'value']","{'quality': ['good', 'bad', 'nice', 'poor', 'not_good', 'worth', 'product', 'cheap', 'average', 'not_very'], 'installation': ['good', 'free', 'easy', 'impossible', 'wit', 'provide_also'], 'service': ['good', 'bad', 'nice', 'great', 'poor', 'product', 'resolve'], 'good': ['nice', 'product', 'overall', 'service', 'quality', 'customer_service'], 'ask': [], 'product': ['good', 'bad', 'nice', 'easily', 'awesome', 'great', 'poor', 'not_good', 'worth', 'excellent'], 'experience': ['good', 'bad', 'nice', 'not_good', 'assemble', 'elaborate'], 'assemble': ['good', 'overall', 'not_much', 'easy', 'assemble_tight', 'assemble_kindly', 'clumsy'], 'purchase': ['good', 'worth', 'purchase_early'], 'value': ['good', 'great', 'product', 'happy', 'overall', 'value_truely', 'truely']}","{'quality': 0.1866666666666666, 'installation': 0.43222222222222206, 'service': 0.08666666666666659, 'good': 0.0, 'ask': 0, 'product': 0.4288888888888888, 'experience': 0.046666666666666606, 'assemble': 0.1722222222222221, 'purchase': 0.5499999999999999, 'value': 0.6024999999999999}"
0,20.0,beatXP Tornado Shift 2F Air Bike Exercise Cycle for Home |Gym Cycle for Workout With Adjustable Cushioned Seat | Non-Slip Pedals | Fixed Handles | Back Support | Full Body Workout Gym Fitness Cycle Machine With 6 Months Warranty (Grey),"['quality', 'receive', 'serve', 'installation', 'price', 'follow', 'product', 'beat', 'assemble', 'value']","{'quality': ['good', 'not_good', 'strong', 'average'], 'receive': ['good', 'defective', 'happy', 'item_also', 'super'], 'serve': ['serve_completely', 'completely'], 'installation': ['easy', 'available', 'tough', 'free', 'irritate'], 'price': ['reasonable', 'low'], 'follow': ['pathetic'], 'product': ['good', 'defective', 'easy', 'nice', 'great', 'awesome', 'not_good', 'available', 'excellent', 'not_worth'], 'beat': ['xp', 'beat_really'], 'assemble': ['good', 'easy', 'nice', 'worthy', 'difficult', 'high', 'serve_completely', 'assemble_easy', 'not_able', 'pretty'], 'value': ['good', 'genuinely', 'not_worth', 'deffective', 'unsuitable']}","{'quality': 0.30555555555555547, 'receive': 0.391111111111111, 'serve': 0.06, 'installation': 0.32740740740740737, 'price': 0.08000000000000002, 'follow': 0.0, 'product': 0.7922222222222222, 'beat': 0.0, 'assemble': 0.4258222222222221, 'value': 0.4799999999999999}"
